i,timestamp,prev_timestamp,delta,difficulty,boundary
1,1515662003,1515270948,391055,5000,23158417847463239084714197001737581570653996933128112807891516801582625927
2,1515662012,1515662003,9,2,57896044618658097711785492504343953926634992332820282019728792003956564819968
3,1515662022,1515662012,10,3,38597363079105398474523661669562635951089994888546854679819194669304376546645
4,1515662022,1515662022,0,4,28948022309329048855892746252171976963317496166410141009864396001978282409984
5,1515662023,1515662022,1,6,19298681539552699237261830834781317975544997444273427339909597334652188273322
6,1515662023,1515662023,0,9,12865787693035132824841220556520878650363331629515618226606398223101458848881
7,1515662024,1515662023,1,14,8270863516951156815969356072049136275233570333260040288532684571993794974281
8,1515662029,1515662024,5,22,5263276783514372519253226591303995811512272030256389274520799273086960438178
9,1515662032,1515662029,3,35,3308345406780462726387742428819654510093428133304016115413073828797517989712
10,1515662039,1515662032,7,56,2067715879237789203992339018012284068808392583315010072133171142998448743570
11,1515662042,1515662039,3,87,1330943554451910292224953850674573653485861892708512230338592919631185398160
12,1515662049,1515662042,7,141,821220491044795712223907695097077360661489252947805418719557333389454820141
13,1515662059,1515662049,10,220,526327678351437251925322659130399581151227203025638927452079927308696043817
14,1515662072,1515662059,13,343,337586265998006400651810451920372909193206952377960828103374880489542652011
15,1515662092,1515662072,20,514,225276438204895321835741215970209937457723705575176194629294910521231769727
16,1515662102,1515662092,10,738,156899849915062595424892933616108276223943068652629490568370710037822668888
17,1515662114,1515662102,12,1153,100426790318574323871267116226095323376643525295438477050700419781364379566
18,1515662123,1515662114,9,1729,66970554793126775837808551190681265386506642374575225008361818396710890480
19,1515662134,1515662123,11,2701,42870081168943426665520542394923327602099216832891730484804733064758655920
20,1515662183,1515662134,49,4220,27438883705525164792315399291158272003144546129298711857691370617988893279
21,1515662264,1515662183,81,4747,24392687852815714224472505794962693881034334245974418377808633665033311489
22,1515662343,1515662264,79,3857,30021283183125796065224522947546774138778839685154411210644953074387640560
23,1515662363,1515662343,20,3134,36947061020202997901586147099134622799384168687185885143413396301184789291
24,1515662403,1515662363,40,4505,25703016478871519516885901222794208180526078727112222872243636849703247422
25,1515662443,1515662403,40,5631,20563326094355566582058423904934808711289288699279091465007562423710376423
26,1515662584,1515662443,141,7038,16452413929712446067571893294783732289467175996823041210494115374810049678
27,1515662663,1515662584,79,1320,87721279725239541987553776521733263525204533837606487908679987884782673969
28,1515662724,1515662663,61,1073,107914342252857591261482744649289755688042856165555045703129155645771789040
29,1515662801,1515662724,77,1073,107914342252857591261482744649289755688042856165555045703129155645771789040
30,1515662833,1515662801,32,939,123314259038675394487296043672724076521054296768520302491435126738991618359
31,1515662864,1515662833,31,1232,93987085419899509272379046273285639491290571968864094187871415590838579253
32,1515662913,1515662864,49,1617,71609207938971054683717368589170011040983292928658357476473459497781774669
33,1515662943,1515662913,30,1819,63657003428980866093222091813462291288218793109203168795743586590386547355
34,1515663043,1515662943,100,2387,48509463442528778979292410979760330060020940371026629258256214498497331227
35,1515663065,1515663043,22,1492,77608638899005492911240606574187605799778810097614319061298648798869389839
36,1515663084,1515663065,19,2144,54007504308449718014725272858529807767383388370168173525866410451452019421
37,1515663155,1515663084,71,3082,37570437779791108184156711553759866272962357127073512017994024661879665684
38,1515663174,1515663155,19,2890,40066466864123251011616257788473324516702416839321994477320963324537415100
